Title,Genre,Price,Published Date
Proactive context-sensitive budgetary management,Psychology,13.72,1989-12-13
Virtual actuating model,Technology,18.1,1994-08-17
Cross-platform holistic algorithm,Technology,25.06,2003-03-12
Vision-oriented context-sensitive success,Business,44.78,1981-03-12
Streamlined even-keeled model,Science,32.24,1983-07-27
Extended well-modulated portal,Philosophy,15.45,2013-07-19
Integrated motivating solution,Philosophy,11.91,2022-05-03
Universal dedicated matrices,Biography,37.55,2003-05-28
Optional even-keeled challenge,Business,48.16,1981-12-19
Networked tertiary middleware,True Crime,17.8,2013-08-15
Open-source modular hierarchy,True Crime,36.82,2021-02-07
Monitored empowering solution,Business,34.17,2021-05-19
Integrated tangible circuit,True Crime,34.98,2008-12-10
Ergonomic 24/7 extranet,Technology,24.01,2005-03-20
Enhanced multi-state neural-net,Science,5.22,2024-11-13
Streamlined incremental conglomeration,Technology,38.17,2004-06-07
Integrated analyzing adapter,Biography,29.74,1976-09-28
Object-based exuding methodology,True Crime,5.76,1987-06-16
Cloned upward-trending standardization,Philosophy,31.18,2016-02-26
Versatile impactful instruction set,Philosophy,44.27,2002-03-29
Quality-focused fault-tolerant task-force,Technology,18.49,2005-05-13
Monitored holistic protocol,Science,20.04,2000-10-26
Profit-focused mission-critical collaboration,Philosophy,15.89,2018-06-09
Multi-channeled bandwidth-monitored productivity,Health & Wellness,18.36,1976-09-17
Object-based regional focus group,Technology,35.54,1990-02-06
Streamlined motivating standardization,Technology,19.34,2001-05-07
Future-proofed zero-defect framework,Philosophy,29.74,1984-11-10
Profit-focused impactful knowledgebase,Philosophy,46.04,2018-09-13
User-friendly exuding Internet solution,Health & Wellness,38.61,1991-04-21
Digitized regional secured line,Psychology,27.95,1983-04-20
Focused actuating orchestration,Philosophy,21.46,2010-05-06
Cross-group web-enabled support,History,19.92,1990-10-18
Ergonomic actuating groupware,Self-Help,47.57,2010-11-11
Robust local throughput,Psychology,20.54,1990-01-29
Open-architected stable service-desk,Philosophy,5.11,1987-06-24
De-engineered 24hour intranet,Science,36.41,1988-01-13
Balanced discrete complexity,Psychology,28.99,2024-10-31
Visionary coherent Internet solution,Philosophy,29.26,2023-04-19
Compatible radical model,Psychology,19.52,2001-10-31
Multi-lateral zero administration software,Science,18.21,2010-06-02
Profit-focused bottom-line orchestration,Health & Wellness,41.79,1999-05-28
Multi-layered explicit software,Self-Help,26.52,1996-11-08
Operative demand-driven software,Health & Wellness,29.32,1994-07-17
Horizontal composite infrastructure,Philosophy,16.68,2007-10-26
Polarized bottom-line open system,History,37.76,2000-09-10
Persevering web-enabled hardware,Biography,23.06,1999-02-22
Centralized responsive methodology,History,26.01,1979-05-05
Decentralized disintermediate Graphic Interface,Psychology,41.52,1976-10-08
Open-architected object-oriented circuit,Health & Wellness,8.01,2013-12-10
Adaptive dedicated solution,True Crime,24.18,2015-01-29
Re-engineered user-facing solution,Biography,24.35,1990-10-29
Fundamental cohesive task-force,Biography,46.65,2022-12-06
Face-to-face needs-based system engine,History,19.26,1981-08-23
Configurable bandwidth-monitored parallelism,True Crime,41.9,2015-09-28
Sharable coherent application,Biography,9.66,2014-05-27
Ergonomic regional conglomeration,Science,40.22,1988-05-14
Operative heuristic project,Technology,46.35,1976-12-11
Enhanced client-server data-warehouse,Science,19.76,1984-11-20
Upgradable 24/7 hardware,Self-Help,42.85,2003-12-27
Open-architected 3rdgeneration utilization,Self-Help,34.49,1983-07-30
Face-to-face fault-tolerant solution,Science,13.09,1981-04-14
Front-line discrete functionalities,History,12.8,1983-08-05
Pre-emptive fault-tolerant flexibility,History,13.3,1997-10-04
Horizontal directional definition,Health & Wellness,13.11,1984-05-01
Versatile multimedia framework,History,18.27,2018-08-26
Versatile 4thgeneration contingency,Philosophy,44.41,2017-09-06
Right-sized optimal Graphic Interface,Psychology,47.38,1999-09-09
Enterprise-wide coherent monitoring,True Crime,25.19,2024-09-16
Synergized user-facing artificial intelligence,History,10.66,1997-01-31
Synergistic zero tolerance support,Self-Help,15.86,2004-09-06
Seamless scalable frame,True Crime,34.02,1984-02-03
Customizable holistic analyzer,True Crime,22.06,2021-08-21
Vision-oriented composite alliance,Psychology,39.04,1982-03-27
Future-proofed methodical middleware,True Crime,37.38,2014-04-14
Proactive client-driven attitude,Psychology,24.21,2023-09-30
Open-source interactive project,True Crime,34.23,2009-02-26
Switchable system-worthy model,Self-Help,41.86,2021-04-13
Cross-platform coherent Local Area Network,True Crime,24.07,2021-09-27
Focused solution-oriented moratorium,Biography,9.09,2005-07-12
Centralized needs-based application,Business,38.38,2013-04-09
Centralized contextually-based analyzer,Business,32.21,1993-10-29
Enterprise-wide impactful time-frame,Health & Wellness,11.37,1986-01-06
Pre-emptive national array,Science,47.24,1997-08-20
Customizable didactic matrix,Business,27.43,1980-10-02
Adaptive system-worthy standardization,Self-Help,30.62,2002-04-02
Fully-configurable client-server complexity,Psychology,28.5,2010-11-26
Virtual executive matrices,Science,48.38,2017-01-29
Object-based maximized projection,Health & Wellness,27.77,1994-04-02
Robust 24hour firmware,Health & Wellness,30.87,2001-03-05
Optimized non-volatile groupware,Self-Help,44.91,2011-02-03
Triple-buffered value-added installation,Science,9.86,2002-02-25
Cross-group value-added knowledge user,Health & Wellness,23.59,1976-12-29
Seamless solution-oriented collaboration,Health & Wellness,45.31,1988-12-17
Total didactic productivity,Business,37.5,2009-02-27
Virtual user-facing solution,Self-Help,42.44,1976-10-05
Synergized secondary focus group,Technology,42.65,1988-10-13
Self-enabling reciprocal application,Science,17.27,1988-05-10
Versatile user-facing product,Health & Wellness,31.94,1976-05-25
Cloned optimizing infrastructure,Philosophy,28.57,2000-12-09
De-engineered asynchronous analyzer,Philosophy,10.3,1977-12-06
Total content-based paradigm,Psychology,25.62,2009-10-26
Open-source national groupware,Science,19.74,1987-09-03
Innovative disintermediate leverage,Philosophy,35.66,2011-11-03
Front-line needs-based definition,Technology,28.88,2007-05-26
Digitized non-volatile hardware,Health & Wellness,27.41,1983-03-21
Face-to-face zero-defect portal,Business,29.91,1988-09-06
Profound bottom-line function,Business,22.14,1980-02-24
Reactive solution-oriented capability,Business,10.05,2009-11-27
Expanded dynamic help-desk,Science,21.06,1995-11-28
Programmable interactive synergy,History,29.9,1985-10-03
Customer-focused systematic protocol,Psychology,21.07,1991-08-08
Adaptive optimal superstructure,Science,12.2,2019-10-12
Reduced holistic leverage,Technology,27.03,2004-02-06
Grass-roots executive pricing structure,True Crime,11.32,2021-10-04
Programmable 6thgeneration synergy,Business,40.38,1986-12-08
User-friendly reciprocal groupware,Biography,49.82,2004-01-16
Distributed real-time info-mediaries,Philosophy,10.1,2017-10-06
Diverse zero administration archive,Biography,27.96,2019-08-21
Innovative client-driven infrastructure,Self-Help,14.99,2021-12-26
Business-focused modular circuit,Psychology,22.85,1992-03-17
Phased modular intranet,Technology,9.97,1999-02-21
Organized 24hour throughput,Health & Wellness,35.37,2008-06-24
Secured bottom-line workforce,Science,18.65,2007-03-18
Ameliorated asymmetric circuit,Self-Help,11.59,1980-03-02
Adaptive secondary archive,Technology,24.52,2007-09-05
Multi-tiered eco-centric groupware,Technology,8.07,1986-02-18
Integrated global productivity,Health & Wellness,33.77,1983-03-21
Triple-buffered tangible synergy,Philosophy,21.48,1993-03-17
Managed motivating Graphic Interface,Health & Wellness,35.68,1997-02-09
Stand-alone impactful attitude,True Crime,24.08,1988-07-20
Reactive executive projection,Psychology,24.69,1998-07-13
Managed value-added success,Philosophy,29.3,1982-11-24
Networked bi-directional product,Biography,7.79,2015-10-15
Object-based demand-driven conglomeration,Technology,30.23,1976-02-26
Future-proofed web-enabled analyzer,Psychology,7.53,2017-12-04
Fully-configurable radical interface,Business,16.78,1998-10-02
Customer-focused asynchronous paradigm,Philosophy,48.69,1993-04-10
Assimilated heuristic definition,Technology,32.68,2000-06-25
Advanced multimedia knowledge user,Business,9.09,1997-04-14
Seamless client-server success,Business,39.22,1977-05-09
Operative empowering implementation,Health & Wellness,30.17,2001-11-11
Robust context-sensitive attitude,Self-Help,7.89,2005-08-05
Realigned context-sensitive installation,Business,42.89,1992-05-10
Team-oriented even-keeled task-force,Biography,43.2,2019-05-26
Grass-roots needs-based paradigm,Philosophy,41.94,1999-02-11
Quality-focused didactic standardization,Technology,49.17,1983-12-24
Fully-configurable impactful collaboration,Biography,45.41,1989-01-22
Realigned methodical parallelism,Health & Wellness,5.51,1977-09-20
Cloned reciprocal groupware,True Crime,49.78,2021-03-28
Assimilated optimal moderator,History,38.52,2005-09-08
Visionary contextually-based focus group,True Crime,11.95,2007-04-19
Future-proofed asymmetric leverage,Science,44.69,2023-04-02
Function-based contextually-based function,Philosophy,46.81,1984-11-23
Cross-platform zero-defect artificial intelligence,History,10.71,1982-09-27
Multi-channeled 24/7 neural-net,Science,34.56,2011-11-04
Function-based didactic frame,Biography,35.5,1979-09-16
Proactive asynchronous knowledgebase,Psychology,40.69,2022-01-11
User-centric regional hardware,Philosophy,21.53,1987-12-23
Front-line modular strategy,Health & Wellness,19.57,1994-05-27
Right-sized empowering synergy,Biography,15.37,2020-10-26
Total bandwidth-monitored array,Psychology,27.97,2008-02-06
Fundamental national groupware,Science,17.22,2018-03-04
Digitized stable archive,Psychology,18.03,2003-11-25
Up-sized homogeneous success,Philosophy,12.98,2012-10-31
Cross-platform multimedia policy,Business,20.63,2003-12-16
Right-sized local productivity,Science,7.54,1987-12-12
User-centric bi-directional structure,Self-Help,43.45,1978-12-10
Switchable static hierarchy,Biography,28.18,1982-08-19
Multi-lateral full-range portal,Philosophy,23.74,1979-04-02
Automated contextually-based emulation,Science,30.98,1989-05-08
Phased modular process improvement,History,37.54,1985-08-15
Advanced dedicated open system,Business,8.14,1992-02-16
Robust 24hour policy,Psychology,33.58,2022-07-31
Synchronized regional hub,Self-Help,38.56,1989-06-15
Universal static toolset,History,26.49,1992-08-31
Reduced explicit functionalities,Science,10.55,1991-04-10
Focused fresh-thinking definition,Biography,42.12,1994-08-26
Innovative responsive process improvement,Psychology,32.69,1985-05-24
Enterprise-wide bi-directional artificial intelligence,Psychology,33.61,1987-09-19
Diverse multi-state array,Technology,26.45,2014-06-24
Grass-roots empowering knowledge user,Philosophy,21.64,1986-06-03
Streamlined clear-thinking conglomeration,Health & Wellness,38.43,1984-10-03
User-friendly grid-enabled help-desk,Psychology,39.36,1994-04-07
Reactive didactic superstructure,Science,16.48,1997-08-12
Multi-channeled full-range encoding,Self-Help,16.6,2014-11-11
Decentralized web-enabled solution,Business,46.29,1978-06-15
Automated bottom-line firmware,Science,44.68,1982-11-24
Robust modular Graphic Interface,Psychology,27.58,1975-02-13
Networked contextually-based Graphic Interface,Philosophy,24.78,2008-03-30
Team-oriented directional projection,History,5.73,2004-09-30
Down-sized holistic groupware,Health & Wellness,5.54,1988-12-12
Automated grid-enabled policy,Psychology,32.33,2004-12-06
Team-oriented attitude-oriented flexibility,Science,46.57,1996-06-20
Streamlined transitional interface,Biography,20.91,1981-01-08
Customer-focused real-time instruction set,History,35.13,2020-01-20
Multi-channeled directional capability,Health & Wellness,33.46,1990-08-10
Versatile even-keeled Graphic Interface,History,22.09,2001-07-05
Virtual disintermediate neural-net,Philosophy,16.39,1998-07-17
Cross-group empowering open system,Technology,28.42,2001-07-25
Implemented bottom-line implementation,Technology,23.43,2007-09-11
Compatible non-volatile structure,History,34.28,2008-03-27
Focused dynamic Internet solution,History,33.04,1988-11-12
Inverse grid-enabled database,True Crime,33.51,2005-11-28
Fully-configurable client-server website,History,27.41,1982-04-28
Organized disintermediate website,Technology,40.65,2008-04-13
Devolved maximized software,Biography,34.08,1987-12-09
User-centric directional conglomeration,Philosophy,33.41,2003-01-06
Expanded motivating middleware,Science,18.22,2002-12-19
Stand-alone needs-based info-mediaries,Philosophy,7.41,1999-11-07
Extended neutral capability,Science,49.45,1981-02-24
Managed didactic initiative,History,22.07,2011-07-15
Seamless demand-driven extranet,Self-Help,10.86,1986-02-25
Re-engineered stable Internet solution,Technology,40.93,1976-06-26
Versatile 24/7 functionalities,Health & Wellness,40.2,2018-09-29
Reduced homogeneous benchmark,Psychology,5.89,1985-09-28
Down-sized attitude-oriented middleware,Self-Help,36.69,1995-03-30
Future-proofed contextually-based forecast,Business,25.28,1980-07-17
Reverse-engineered attitude-oriented instruction set,Biography,9.09,1985-01-12
Re-engineered value-added alliance,Health & Wellness,14.9,2020-08-29
Ameliorated client-server capacity,Philosophy,11.54,2001-11-17
Intuitive actuating neural-net,Science,6.04,2006-02-05
Pre-emptive zero-defect instruction set,Psychology,47.85,2002-12-23
Versatile multi-tasking instruction set,True Crime,42.3,1977-10-08
Operative 24hour help-desk,Philosophy,32.57,2004-07-04
Future-proofed zero-defect productivity,Business,48.97,1993-07-19
Reduced heuristic installation,Business,42.26,1988-11-04
Re-contextualized systemic alliance,Business,26.93,2020-07-09
Business-focused 4thgeneration parallelism,Philosophy,40.86,1985-09-02
Progressive multi-tasking budgetary management,Philosophy,38.88,2006-02-23
Face-to-face composite application,History,28.74,1986-02-02
Open-source demand-driven complexity,True Crime,28.9,2000-07-23
Integrated local extranet,Philosophy,6.19,1975-07-03
Profit-focused systematic structure,History,34.56,2020-03-06
Face-to-face solution-oriented standardization,True Crime,5.75,2017-10-19
Phased 6thgeneration workforce,Psychology,5.55,1984-10-08
Managed heuristic architecture,True Crime,17.86,1981-11-01
Total regional leverage,Philosophy,37.8,1990-09-06
Intuitive directional projection,Psychology,46.62,1992-09-29
Organized leadingedge neural-net,Self-Help,12.74,1993-05-06
Organized directional Local Area Network,History,49.13,1983-05-05
Managed background analyzer,Business,9.45,1990-07-18
User-friendly bandwidth-monitored Internet solution,Science,42.98,1996-12-08
Balanced methodical synergy,Health & Wellness,36.55,2011-06-12
Open-architected disintermediate help-desk,Science,34.09,1984-06-28
Mandatory human-resource Local Area Network,History,20.52,2002-04-30
Balanced content-based encryption,True Crime,17.91,1975-06-02
Switchable contextually-based forecast,Biography,38.8,1983-05-16
Expanded executive installation,Science,42.1,1978-04-26
Advanced executive instruction set,Business,13.65,1995-06-02
Self-enabling solution-oriented core,Technology,17.21,1984-05-13
